username,rating,comment,likes,date,additional_desc
widyamartha,bintang 5,"Produk original, seller gercep, kmrn sore order, siang sdh sampai..padahal lokasi jauh di Puncak. Recommended",0,2 hari lalu,
Andri,bintang 5,Terima kasih banyak atas pelayanan baiknya. 😊,0,1 bulan lalu,
l***h,bintang 5,respon penjualnya cepat👍🏻,0,2 bulan lalu,
Mahmud,bintang 5,,0,2 bulan lalu,
Raisa,bintang 5,"kualitas laptopnya bagus, respon sellernya cepat dan pengirimannya aman",0,2 bulan lalu,
R***a,bintang 5,"Mantap jos, adminnya gercep bgt juga bantu jwb pertanyaan”ku 🫶🏼 kwalitas laptop jgn tanya udh pasti top markotop 👍🏼",0,3 bulan lalu,
F***i,bintang 5,"barang bagus, pasti ORI karna beli di official store. gampang di update nya puas karna semua di atur sendiri.",0,3 bulan lalu,
Ahmad,bintang 5,Aman. Sesuai. Pengiriman cepat. Dipandu pas aktivasi. Top,0,3 bulan lalu,
Lee,bintang 5,Pelayanan memuaskan..,0,4 bulan lalu,
harri,bintang 5,Mantaaapp... Ok bgt barangnyaaa,0,4 bulan lalu,
Muhammad,bintang 5,"official store emang ga mungkin ngecewain sih, dari awal pesen sampe barang diterima selalu respon dengan sangat baik. kalo ada bintang sampe 10 saya full sampe 10 dah😂t... Selengkapnya",0,4 bulan lalu,
Moch,bintang 5,"pengiriman cepat, mudah aktifasi, semoga bisa membawa rejeki lebih banyak lagi. aamiin",1,4 bulan lalu,
yulfannyhamidah,bintang 5,Adminnya ramah sekali fast respon dan sangat membantu barangnya juga oke bagus tidak kekurangan apapun terimakasih ka,0,4 bulan lalu,
Talitania,bintang 5,mantaaap,0,4 bulan lalu,
William,bintang 5,barang sudah sesuai,0,5 bulan lalu,
Nini,bintang 5,"harga oke, dapat cashback, pengiriman cepat...",0,5 bulan lalu,
Dedi,bintang 5,"mantap pesan jam 12 siang jam 14.20 sudah tiba d rumah, respon pelapak kudu d acungin jempol sukses terus buat pelapak..",0,5 bulan lalu,
M***a,bintang 5,"Packing barang super aman, pesanan sampai dengan cepat. Barang yg diterima sesuai pesanan. Tapi sayangny gapunya video/foto krna yg punya laptopnya ga mau fotoin (pesanan... Selengkapnya",0,5 bulan lalu,
L***a,bintang 5,"cocok untuk dipakai pekerja kantoran, pengiriman nya sangat cepat, tengkyu seller",0,5 bulan lalu,
Hendayani,bintang 5,"Alhamdulillah hari ke 6 sampe jg pdhal cuma dr Bandung pangandaran,, masalah di kulir aja,, sempet was2 pas Terima barang kondisi dus penyok tp unboxing laptop aman berfu... Selengkapnya",0,5 bulan lalu,
r***a,bintang 5,"barang sesuai, sepanjang ini masih aman. tetima kasih",0,5 bulan lalu,
F***y,bintang 5,bagus,0,5 bulan lalu,
S***o,bintang 5,barang sesuai dan sudah aman sampai tujuan ada bonus tasnya TQ,0,5 bulan lalu,
Eric,bintang 5,tiba dengan selamat. packing aman.,0,5 bulan lalu,
p***a,bintang 5,seller nya ramah dan cepat respon nya... pengiriman cepat..,0,6 bulan lalu,
E***i,bintang 5,👍👍,0,6 bulan lalu,
Satria,bintang 5,Terima kasih barangnya sudah saya terima dengan baik,0,6 bulan lalu,
Naomi,bintang 5,"Laptop tiba dengan selamat tanpa cacat. Kondisi grass sesuai deskripsi. No dead pixel. Diinstall aplikasi Kamfa, capcut, Adobe illustrator, after effects lancar ngk ada m... Selengkapnya",1,6 bulan lalu,
W***a,bintang 5,sesuai deskripsi. manteppp. kali kedua beli di sini.,0,7 bulan lalu,
Dandy,bintang 5,Sampai dengan baik,0,7 bulan lalu,
Nando,bintang 5,Bagus bet,0,8 bulan lalu,
H***y,bintang 5,,0,8 bulan lalu,
W***a,bintang 5,kerennnnn. pengiriman cepat,1,8 bulan lalu,
P***a,bintang 5,"Laptopnya minimalis, enteng, terus cepet datengnya.",0,9 bulan lalu,
Heri,bintang 5,All Good,0,11 bulan lalu,
Robby,bintang 5,mantul,0,Lebih dari 1 tahun lalu,
S***i,bintang 5,👍🏻👍🏻👍🏻👍🏻,0,Lebih dari 1 tahun lalu,
ARWAN,bintang 5,,0,Lebih dari 1 tahun lalu,
R***R,bintang 5,Thanks. barang sudah mendarat sesuai pesanan. kualitas terjamin asus dan sangat bagus.,1,Lebih dari 1 tahun lalu,
Ilmi,bintang 5,Laptop berfungsi normal,0,Lebih dari 1 tahun lalu,
W***h,bintang 5,seller ramah dan sabar.. pesan jam 15.45 jam 19.30 sampai .. semoga awet..,0,Lebih dari 1 tahun lalu,
J***y,bintang 5,"fast respon, mantepp",0,Lebih dari 1 tahun lalu,
