name,price,cashback(%),seller,location,rating,sold,status,link,image
ADVAN Laptop 360 Stylus 2in1 Touchscreen - Intel i3 14.1'' FHD IPS,Rp5.899.000,Cashback 10 rb,Advan Official Store,Kab. Tangerang,5.0,100+ terjual,Official Store,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jRH_UFosHObm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-yH7PJz3xp1RgXoMFN1Iut8MFhrSrfgMo0Q3Ny8IC3qMBugcP2_MBDzcg-6JzcyRgCP9gO3com8jBczcz7z3uEPIoAPVgyypCdZuPhZRV0y_gGef2BZBUdo1uyzp-ZQjho9pxHZcBF8Mzc3uggQI2zHS-sZOgwQVYc3_na834FZaUDUSz2Q31i6sJRHAnFH_jpHpjDUMoFyaUEHpHFHmFircYpq9z2Qfdi6sJDUMWB89P5rMzwq3ei6sepo_KpHAjpo_yDUMVDgaUEUMW79RCtrMVpguY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDa6_rDHpK7omFp6_KN9ZFiQBYsy3Njq3zxPcuwy3zpUstaH_nDUMVi9RzBrRei6i-6UiFirMYDQcuXyfuwgMh5PaUEUMgDQRPwgcujP9CDq3oxPcB5QBYFy3P2QMV7q3YXUiFirMYDQcuXyfuwPMVaq3VXPVYXy3OBUstiQR-S9fg28IoOrICD8uYFgpJibm-aQfhDg3NsguYB8ICBrMBWg3N79fNxQ31i6i-FQfowrfuxrMot9fzBgIuFUiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEopHObseNop1hoAnOo_1O6_HDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1jh_c2S8JNEyRxoucoR_1zCHjNJ3_Co17BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2-oJYJypV-q9P2yM7NPujau3Bvq122_BPVo1YJ1_Cgq_V03jzu8jh11_u6Q1B73uzZQ1O2H3Ogu7203uzs81OI3_zvu7B2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MggQj2f3uPZ6cgIPACyH7-5yfOc8B2_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBke3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z_-ozVBO_M2s8jNJz9xvucra_7zVHJN_Zsjibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UiFioAnF6mUDUsHN6AUibmUp6_K7UiFiHpjdoiUDUsHN6Aji9ZFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-ag3hBPMVXyfuwrfo5rM1i6snXopyFo_jaHAnOHpnpopHNoaFirI-2yfuwyMBjUstpHpnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sjNoadN6_jOHAy7Hpyfoprdbm-hP3ua8uYag3hay3N09RosQR-BUstFbsea6AKFopjfosH76AHhHAuY?is_search=1&pub_id=0&pub_domain=0&page=1&management_type=1&pub_unit=0&t=desktop&dv=desktop&src=search&keywords=laptop&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fadvanstore%2Fadvan-laptop-360-stylus-2in1-touchscreen-intel-i3-14-1-fhd-ips%3FextParam%3Divf%253Dtrue%26src%3Dtopads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/28/4a9e1da0-aa1e-407a-ab3c-fddc6afe2bcc.jpg
ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11,Rp6.754.500,Cashback 10 rb,Advan Official Store,Kab. Tangerang,4.9,1rb+ terjual,Official Store,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jdH_jh6_yNbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-yH7PJz3xp1RgXoMFN1Iut8MFhrSrfgMo0Q3Ny8IC3qMBugcP2_MBDzcg-6JzcyRgCP9gO3com8jBczcz7z3uEPIoAPVgyypCdZuPhZRV0y_gGef2BZBUdo1uyzp-ZQjho9pxHZcBF8Mzc3uggQI2zHS-sZOgwQVYc3_na834FZaUDUSz2Q31i6sJRHAnFH_jpHpjDUMoFyaUEHsnFHmFircYpq9z2Qfdi6sUDUMWB89P5rMzwq3ei6sea6AUdosJfHpeDUMVDgaUEUMW79RCtrMVpguY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Kf9ZFiQBYsy3Njq3zxPcuwy3zpUstaH_nDUMVi9RzBrRei6i-6UiFirMYDQcuXyfuwgMh5PaUEUMgDQRPwgcujP9CDq3oxPcB5QBYFy3P2QMV7q3YXUiFirMYDQcuXyfuwPMVaq3VXPVYXy3OBUstiQR-S9fg28IoOrICD8uYFgpJibm-aQfhDg3NsguYB8ICBrMBWg3N79fNxQ31i6i-FQfowrfuxrMot9fzBgIuFUiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEopJRbsnh6_1hHAJNopyOH_1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1jh_c2oHjY1Z_u6qBjO_S2sH1Nk1_uo17BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2VH7N1e9PozJVR_1zCP7OJe9PozJVNZ3BRq3-W69ugHBu2_fBGq1N9z_uvzVJF33jhqO2Ju92HuVJO_MO-PVB11MOoq_VW3uPGqOB1yRBozOj7_OP-q1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGHc-y8AxxHO-M33NGPBB91sxMzReF3AomQfoWzS2q17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1jh_OzVP1NJ_9xvzcoE_Bz-H7N1__C681tNUiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7omUDUseFHAKibmUp6_KaUiFiHpjdomUDUsHN6AyibmUp6_KNUB7DUS-BQcufy3NsguYpyfYagZUEHmddo_1aosKRHpUNoAnp6_yhbm-FrMBsguYiq3ei6sUFHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6_KObsjRHpnfopja6_yhoAyDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXo_yOH_jdopJOHpjOosjh6I7?dv=desktop&is_search=1&pub_id=0&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fadvanstore%2Fadvan-laptop-workplus-amd-ryzen-5-6600h-14-fhd-ips-16gb-512gb-win-11%3FextParam%3Dcmp%253D1%2526ivf%253Dfalse%26src%3Dtopads&pub_unit=0&ob=23&pub_domain=0&keywords=laptop&page=1&management_type=1&src=search,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/14/9f7dd753-ff75-485b-883e-608e8f77d42a.jpg
CORE i7 GEN 8 TERMURAH ! LENOVO THINKPAD X280 LAPTOP SETIPIS X1 CARBON,Rp2.100.000,Cashback 2%,Trinity Comp,Jakarta Barat,4.9,1rb+ terjual,Pro Merchant,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yp6AJhHpydbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-yH7PJz3xp1RgXoMFN1Iut8MFhrSrfgMo0Q3Ny8IC3qMBugcP2_MBDzcg-6JzcyRgCP9gO3com8jBczcz7z3uEPIoAPVgyypCdZuPhZRV0y_gGef2BZBUdo1uyzp-ZQjho9pxHZcBF8Mzc3uggQI2zHS-sZOgwQVYc3_na834FZaUDUSz2Q31i6sJRHAnFH_jpHpjDUMoFyaUEHseOHmFircYpq9z2Qfdi6sHDUMWB89P5rMzwq3ei6sUFH_Jdo_UOHiFiy3hSUstiqRzwrcxay9oB9RzWUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sUhHmFiy3-wPcupPmUEUjdibm-aQfhDg3NsguYMQcYRUstigMh5POYjg3zOrch2yfV7q3YX9RCxgfBXy9z2Qfdibm-aQfhDg3NsguYfy9-2y3N79fNxQ31i6i-5rMPwgMBdrRuFrchN9RCSHZUDUS-5QchBQMoB9fudrcuaq3OBQSzwQMVWgZUEUSC5yOYpg3VayfxwgcujP9nibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstRo_jX6_eO6AKpH_naopH7HaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_uHqBVN_92oHJNE__uvzJVE_1z0HJONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9PHqjBd_jzoH7N_Z9o-Q_ufyMO6QJBkQfBgqBgt_OzSHJNIZ9zqzOJh_9jFHJY13MBHu71F3M2-PV2WzMBqz71p_32mQ1YJQcB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBjzpJdgjP7HVKaZSBiHjg0gjxdrMzc69PxZJ2typ-uq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1NkZ_-HqMPE_Ozuo1OkZ_oouVJp_32Sq3gzv_7ibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UiFioAnF6mUDUsHN6AUibmUp6_K7UiFiHpjdoiUDUsHN6Aji9ZFirMuDg9gxQMoB9RosQR-BUstFbsrd6_efHAJposH76An76_UDUSCaq3oB9f-2gmUEHseOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUsthH_nNbseaopepH_j76AUd6AJDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopn7op1poprd6AHhoAnpHS7?pub_id=0&r=https%3A%2F%2Fwww.tokopedia.com%2Ftrinitycomp%2Fcore-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-ssd-128%3FextParam%3Divf%253Dfalse%26src%3Dtopads&t=desktop&keywords=laptop&dv=desktop&ob=23&pub_domain=0&is_search=1&management_type=1&src=search&pub_unit=0&page=1,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/24/29375bba-86cf-463d-a47e-44edbe164433.jpg
MURAH BERKUALITAS ! LENOVO YOGA N23 N3160 RAM 4GB/256GB SSD (FREE TAS) - 4GB/64GB SSD,Rp2.000.000,Cashback 2%,RedStar Electronic,Jakarta Barat,4.8,20 terjual,Pro Merchant,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_1No_epHArpbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-yH7PJz3xp1RgXoMFN1Iut8MFhrSrfgMo0Q3Ny8IC3qMBugcP2_MBDzcg-6JzcyRgCP9gO3com8jBczcz7z3uEPIoAPVgyypCdZuPhZRV0y_gGef2BZBUdo1uyzp-ZQjho9pxHZcBF8Mzc3uggQI2zHS-sZOgwQVYc3_na834FZaUDUSz2Q31i6sJRHAnFH_jpHpjDUMoFyaUEH_rOHmFircYpq9z2Qfdi6seDUMWB89P5rMzwq3ei6sHR6Aj7Hpyd6AJDUMVDgaUEUMW79RCtrMVpguY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDa6_rDHpK7omFp6_KN9ZFiQBYsy3Njq3zxPcuwy3zpUstaH_nDUMVi9RzBrRei6i-6UiFirMYDQcuXyfuwgMh5PaUEUMgDQRPwgcujP9CDq3oxPcB5QBYFy3P2QMV7q3YXUiFirMYDQcuXyfuwPMVaq3VXPVYXy3OBUstiQR-S9fg28IoOrICD8uYFgpJibm-aQfhDg3NsguYB8ICBrMBWg3N79fNxQ31i6i-FQfowrfuxrMot9fzBgIuFUiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEosyNbseR6_KR6_UFosjaH_UDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32CP1O1u92ouJjhZ3BRq3-W69ugHBu2_fBGq1N9z_uvzVJF33jhqO2Ju92HuVJO_MO-PVB11MOoq_VW3uPGqOB1yRBozOj7_OP-q1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGHc-y8AxxHO-M33NGPBB91sxMzReF3AomQfoWzS2q17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1jh_Bz-P1Okz_zvuJ1O_Bz081YJ1926q1tNUiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7omUDUseFHAKibmUp6_KaUiFiHpjdomUDUsHN6AyibmUp6_KNUB7DUMPaQRuF9Ro7rMV7g3PNUs2QHZFa9ZFirMuDg9gxQMoB9RosQR-BUstFbsrNH_KOH_KRHAr7HAjO6_UDUSCaq3oB9f-2gmUEH_rOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstNo_rXHsed6AJRH_yNos1OoZFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdRHAefopjhHsHRo_nNHAyOwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fredstarelectronic%2Fmurah-berkualitas-lenovo-yoga-n23-n3160-ram-4gb-256gb-ssd-free-tas-4gb-64gb-ssd%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_id=0&pub_unit=0&management_type=1&keywords=laptop&dv=desktop&pub_domain=0&src=search&is_search=1&ob=23&t=desktop&page=1,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/13/0d3e1a48-3b8a-4a6d-aaa8-df1273702b09.jpg
"Laptop Lenovo X240 Core i5 - Ram 8gb - Hdd 500gb- Beragaransi - 4 gb, HDD 320GB",Rp1.754.100,Cashback 2%,Debby Batavia Computer,Bekasi,4.7,750+ terjual,Pro Merchant,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHpyfHArdHAjDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUBKpz7zVqIo_PMdfQABeP3xEQAVaPpgMyfWWQBxdrVgkquujgfB6q3hJgjjdzJgsPjVOPSuyy7-EZ1gJgIzVg927r7o7uBxsHIx-uRVbr3Wxoj2AqMuG1sKOzuxIHB-X_JOw6JhUq9CEgJgguBBD8BJarMobuBYD97ggHA-NQpCbUiFiPcBWgZUEH_rFHAnh6_Hp6ZFiyRCsUsth6A1Fbm-FQRo2PcB5QiUEoZFiqfuNPfYagVY2gmUEoAHdHAyOHpnhomFiy3hSUstiqRzwg9xxyRzwPc7ibm-XP3Oig9-wQfgwy3zpUstaoZFiQSuWyMua9fVjrOYag9Ji6sUObm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEHsJFbm-xyBY7g9o7Usti_iUDUS-5QchBQMoB9fgDQRri6i-MQcYR9fzBgIuFQcBsy9z2QfNwrcVSq3NxPcB5QiUDUS-5QchBQMoB9RgxrMBxQSzwQMVWgZUEUMYagOYMq9xpP9CFQIBwrcrhUiFirMYDQcuXyfuwg9xFg9-2Q3uXPVYXy3OBUstircYs9RoBy9-sqVYjg3zOrmUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6syaHZd7os1popyFHs1fHsHpbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke9uoqjud_7zsHJY1qpuvucDO_Oz0o1Y1gfBHe72OysUOqB2_Z_g-Q1jh3uz0oJNJ1MBHuO-0_BzoPJNJqp-gq_Vt_jPg81h93MxgQu-t_S2-PO2kgpugq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QB-7gjxdrMzc63hBz7gkgJo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-H1O1Z9u6qj1F_32goJNJ__o6zJBN_SBG6ZUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAeibmU7HAndUiFiHpjdHiUDUsHN6AeibmUp6_KfUiFiHpjd6Z-Pbm-ag3hBPMVXyfuwrfo5rM1i6snX6AUfosrFHsrfosya6AUN6mFirI-2yfuwyMBjUsth6A1Fbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sKfoZd7HsJNoAnfHpHdHp1Nbm-hP3ua8uYag3hay3N09RosQR-BUstFbsyaHAJFH_nfosnaosrp6_VY?pub_id=0&page=1&management_type=1&dv=desktop&src=search&is_search=1&t=desktop&pub_unit=0&pub_domain=0&keywords=laptop&r=https%3A%2F%2Fwww.tokopedia.com%2Fdebbybatavia%2Flaptop-lenovo-x240-core-i5-ram-8gb-hdd-500gb-beragaransi-4-gb-hdd-320gb%3FextParam%3Divf%253Dfalse%26src%3Dtopads&ob=23,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/6/12c3b129-69eb-4d5e-b672-32430ef1bd84.jpg
ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11,Rp6.754.500,Cashback 10 rb,Advan Official Store,Kab. Tangerang,4.9,1rb+ terjual,Official Store,https://www.tokopedia.com/advanstore/advan-laptop-workplus-amd-ryzen-5-6600h-14-fhd-ips-16gb-512gb-win-11?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/14/9f7dd753-ff75-485b-883e-608e8f77d42a.jpg
"ASUS VIVOBOOK A416MA DUALCORE N4020 4GB 256GB SSD INTEL HD 14"" OHS W10",Rp4.189.000,Cashback 2%,Protech Computer,Jakarta Pusat,4.9,750+ terjual,Official Store,https://www.tokopedia.com/protechcom/asus-vivobook-a416ma-dualcore-n4020-4gb-256gb-ssd-intel-hd-14-ohs-w10?extParam=ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/12/dfa2a745-945c-4b58-b773-0053079af3e1.jpg
"Apple MacBook Air (13 inci, M1 2020) 8GB RAM, 256GB SSD-Garansi Resmi",Rp10.904.500,,Pandawatiga,Jakarta Pusat,5.0,100+ terjual,Official Store,https://www.tokopedia.com/pandawatiga/apple-macbook-air-13-inci-m1-2020-8gb-ram-256gb-ssd-garansi-resmi-promo-grey?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/30/f43346d9-0c19-4bd1-be0b-7e73b898465d.png
"Apple MacBook Air (13 inci, M1 2020) 8/256GB Garansi Resmi",Rp10.953.000,,Scorpio Electro,Jakarta Pusat,4.8,250+ terjual,Official Store,https://www.tokopedia.com/sinmob/apple-macbook-air-13-inci-m1-2020-8-256gb-garansi-resmi-promo-grey?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/26/9b120a0d-b892-48fe-b9da-3884a302572e.jpg
Laptop ASUS Vivobook 14 A416MAO Celeron N4020 RAM 8GB 512GB SSD OHS,Rp4.189.000,Cashback 2%,Distributor Laptop ID,Jakarta Pusat,5.0,500+ terjual,Official Store,https://www.tokopedia.com/distrilapid/laptop-asus-vivobook-14-a416mao-celeron-n4020-ram-8gb-512gb-ssd-ohs-4gb-silver-256gb-afe06?extParam=ivf%3Dtrue%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/11/77eb4812-a202-4b3a-862d-a10f5f63f9f8.png
