name,price,cashback(%),location,rating,sold,status,link,image,seller
"FREE Botol LocknLock 1,5L",Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/free-botol-locknlock-1-5l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/9/87db4b59-911d-453f-aec1-9a0a4316b600.jpg,unilever
FREE Pepsodent Kids TB Extra Soft,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/free-pepsodent-kids-tb-extra-soft?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/9/178cbec9-05ff-407d-bf40-f8cd7abd8371.jpg,unilever
FREE Zwitsal Baby Guard Lotion Tube 100Ml,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/free-zwitsal-baby-guard-lotion-tube-100ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/6/383b055d-d516-45ec-8ef6-f1f1558f5093.jpg,unilever
FREE Board Game Lifebuoy,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/free-board-game-lifebuoy?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/6/f4e6c148-6cb2-4323-a9dd-d567c8072ed8.jpg,unilever
Buy 2 Rinso Lavender Fresh&Rinso Matic Front Load 1.45 FREE Bantal,Rp213.200,Cashback 5%,Dilayani Tokopedia,5.0,15 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-rinso-lavender-fresh-rinso-matic-front-load-1-45-free-bantal?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/5/87a617de-7717-442c-9cff-5f8ceb33d05c.jpg,unilever
Molto AIO Pink 720ml + Molto AIO Blue 720ml FREE Domi Sarung Bantal,Rp55.300,Cashback 5%,Dilayani Tokopedia,5.0,22 terjual,Official Store,https://www.tokopedia.com/unilever/molto-aio-pink-720ml-molto-aio-blue-720ml-free-domi-sarung-bantal?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/13/df1c9c88-124f-4209-a1c8-bb6fe4c9dd47.jpg,unilever
"Molto Pure 1,6L+Molto Beads Fresh Blossom FREE Domi Guling Microfiber",Rp158.400,Cashback 5%,Dilayani Tokopedia,5.0,8 terjual,Official Store,https://www.tokopedia.com/unilever/molto-pure-1-6l-molto-beads-fresh-blossom-free-domi-guling-microfiber?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/4/ec550d6f-6ce1-4fc8-afd1-1e4cf27da373.jpg,unilever
"Molto Beads Luxury Perfume+Molto AIO Blue 1,6L FREE DomiBantal Mcrofbr",Rp151.200,Cashback 5%,Dilayani Tokopedia,5.0,5 terjual,Official Store,https://www.tokopedia.com/unilever/molto-beads-luxury-perfume-molto-aio-blue-1-6l-free-domibantal-mcrofbr?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/4/7cca8316-7b26-4f23-8d31-38455bde08d0.jpg,unilever
Buy 5 Dove Shampo Rambut Rusak 680ML Free Aeris Face&Eye Brush Set,Rp924.500,Cashback 5%,Dilayani Tokopedia,,1 terjual,Official Store,https://www.tokopedia.com/unilever/buy-5-dove-shampo-rambut-rusak-680ml-free-aeris-face-eye-brush-set?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/4/bf348ce3-02dd-4ead-b96f-8030cd79e396.jpg,unilever
Buy 3pcs Wipol Sabun Karbol Cemara 750ml Free Sikat Bulu Kamar Mandi,Rp53.500,Cashback 5%,Dilayani Tokopedia,5.0,80+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-3pcs-wipol-sabun-karbol-cemara-750ml-free-sikat-bulu-kamar-mandi?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/6/d9fc87d3-3437-4ab4-911b-99146dd097c8.jpg,unilever
